nomor_ruas,nama_ruas_raw,mantap_m,tidak_mantap_m,tahun_survei
207,Simpur - Sp. 3 Muara Paring Agung,2530.0,200.0,2025
208,Wasah Tengah - Sungai Tarap,3350.0,0.0,2025
209,Wasah Hilir - Amparaya,1100.0,1830.0,2025
210,Panjampang  Bahagia - Bayur,1260.0,300.0,2025
211,Ulin - Tanggul (Balai Mas),1700.0,2210.0,2025
212,Panjampang Bahagia - Hanau,2300.0,2480.0,2025
213,Jl. Halaban,100.0,2020.0,2025
214,Amparaya - Karangan - Hanau,4160.0,200.0,2025
215,Jl. Kalimput Desa Wasah Hilir,400.0,500.0,2025
216,Jl. Sungai Kacil I - Kapuh Padang,1320.0,0.0,2025
217,Jl. Sungai Kacil II,390.0,0.0,2025
218,Jl. Papagaran - Ds. Amawang Kanan,540.0,0.0,2025
219,Balaimas - Hanau,2330.0,0.0,2025
220,Garunggang - Hantamangu,800.0,360.0,2025
221,Jl. KH. Ramli - DS. Amparaya,340.0,0.0,2025
222,Jl. Tungkaran - Ds. Ulin,640.0,600.0,2025
223,Jl. Mondar (Ulin-Pantai Ulin) - Ds. Ulin,1860.0,0.0,2025
224,Jl. Pendawa - Ds. Tebing Tinggi,700.0,120.0,2025
225,Jl. Mangamol - Ds. Pantai Ulin,690.0,0.0,2025
226,Jl. Guru H. Izim - Ds. Pantai Ulin,0.0,620.0,2025
227,Jl. Rawati - Ds. Panjampang Bahagia,1210.0,0.0,2025
228,Jl. Pianggu,820.0,0.0,2025
229,Jl. Buluh - Ds. Tebing Tinggi,600.0,680.0,2025
230,Jl. H. Saim Garunggang - Kalimput,710.0,0.0,2025
231,Jl. Padang Haur - Ds. Wasah Tengah,230.0,1000.0,2025
232,Jl. Gerilya - Ds. Simpur,520.0,0.0,2025
233,Jl. Jangkang - Ds. Wasah Hilir,340.0,0.0,2025
234,Jl. Air Miris - Ds. Wasah Hilir,1060.0,0.0,2025
235,Jl. Tandik - Ds. Wasah Hilir,500.0,0.0,2025
236,Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Talim),600.0,0.0,2025
237,Jl. Karampaci - Ds. Kapuh,520.0,0.0,2025
238,Jl. At-Taubah - Ds. Kapuh,470.0,0.0,2025
239,Jl. Firdaus - Ds. Kapuh,100.0,200.0,2025
240,Jl. Slasa Garih - Ds. Kapuh,500.0,0.0,2025
241,Jl. Palas - Ds. Wasah Tengah,0.0,830.0,2025
242,Jl. Tanah Habang - Ds. Simpur,0.0,1050.0,2025
243,Jl. Banua Kambang - Ds. Wasah Tengah,890.0,500.0,2025
244,Jl. Pajah Api - Ds. Kapuh,340.0,0.0,2025
245,Jl. Talapak Manuk - Ds. Kapuh,160.0,600.0,2025
246,Sirih - Taro,1160.0,100.0,2025
247,Kalumpang - Balimau,4910.0,300.0,2025
248,Kalumpang (Ds. Balanti) - Teratai,0.0,5690.0,2025
249,Bago Tanggul - Katilang - Teratai,7300.0,2410.0,2025
250,Binjai (Sirih Hulu) - Ds. Seranggan,2940.0,1400.0,2025
251,Balanti - (Ex. P3DT),1660.0,0.0,2025
