geometry_road_name,geometry_legacy_ref,resolved_key,dd2_feature_found,lookup_method,matched_dd2_name,reason_if_missing
"Jl. Pertanian - Ds. Wasah Tengah","ruas_305","pertanian - desa wasah tengah",true,"direct","Pertanian - Ds. Wasah Tengah",""
"Jl. Munggu Raya - Ds. Hariti","ruas_306","munggu raya - desa hariti",true,"direct","Munggu Raya - Ds. Hariti",""
"Jl. Manggis","ruas_307","manggis - desa baru",true,"manual_alias","Manggis - Ds. Baru",""
"Batang Kulur Kanan - Bumi Berkat (Jl. Kisung)","ruas_308","batang kulur kanan - bumi berkat kisung",true,"direct","Batang Kulur Kanan - Bumi Berkat (Kisung)",""
"Jl. Biti - Sungai Kupang (Karya Bakti TNI)","ruas_309","biti - sungai kupang karya bakti tni",true,"direct","Biti - Sungai Kupang (Karya Bakti TNI)",""
"Jl. H. Jarkasi","ruas_310","h jarkasi - desa sungai paring",true,"alias","H. Jarkasi - Ds. Sungai Paring",""
"Jl. Mangunang","ruas_311","mangunang - desa sungai raya utara",true,"alias","Mangunang - Ds. Sungai Raya Utara",""
"Jl. Bubuih (Ds. Halunuk)","ruas_312","bubuih - desa halunuk",true,"alias","Bubuih - Ds. Halunuk",""
"Jl. Muara Kitar - Ds. Lumpangi","ruas_313","muara kitar - desa lumpangi",true,"direct","Muara Kitar - Desa Lumpangi",""
"Jl. Wahab Syahrani","ruas_314","wahab syahrani",true,"direct","Wahab Syahrani",""
"Taniran Tengah - Taniran Selatan","ruas_315","taniran tengah - taniran selatan",true,"direct","Taniran Tengah - Taniran Selatan",""
"Jl. Rel Angkinang - TMMD Angkinang","ruas_316","rel angkinang - tmmd angkinang",true,"direct","Rel Angkinang - TMMD Angkinang",""
"Jl. Hamak Utara - Samaragi","ruas_317","hamak utara - samaragi",true,"direct","Hamak Utara - Samaragi",""
"Jl. Buntu Muara Hatib","ruas_318","buntu muara hatib - bts kab hst",true,"alias","Buntu Muara Hatib - Bts. Kab. HST",""
"Jl. Samping Mesjid Mandapai","ruas_319","samping mesjid mandapai",true,"direct","Samping Mesjid Mandapai",""
"Jl. Tataian - (Ds. Ulang) - Loksado","ruas_320","tataian - desa ulang - loksado",true,"direct","Tataian - (Ds. Ulang) - Loksado",""
"Pagar Haur - Malutu","ruas_321","pagar haur - malutu",true,"direct","Pagar  Haur - Malutu",""
"Jl. Pembangunan - Ds. Sungai Raya Utara","ruas_322","pembangunan - desa sungai raya utara",true,"direct","Pembangunan - Ds. Sungai Raya Utara",""
