appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,41,41,manggis - desa baru,Manggis - Ds. Baru,,,,0.7535285714285714,,,,,0,1,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,42,42,badaun - desa bjayau lama,badaun – desa bjayau lama,,,,0.7533142857142858,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,43,43,sp hamalau - teluk pinang,Simpang Hamalau - Teluk Pinang,,,,0.7498714285714287,,,,,1,0,0,1,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,44,44,aes nasution,aes nasution,,,,0.7478000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,45,45,bamban selatan - pakuan,bamban selatan – pakuan,,,,0.7452142857142858,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,46,46,kaminting batu,Kaminting Batu,,,,0.7449000000000001,,,,,0,0,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,47,47,sekolah islam kandangan barat,sekolah islam kandangan barat,,,,0.7444571428571429,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,48,48,sei paring - sei hanyar pantai ulin,sei paring – sei hanyar pantai ulin,,,,0.7337571428571429,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,49,49,tanuhi - hulu banyu,tanuhi – hulu banyu,,,,0.7309,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,50,50,teluk pinang - baluti,teluk pinang – baluti,,,,0.7289142857142857,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,51,51,bago tanggul - katilang - teratai,bago tanggul – katilang – teratai,,,,0.7279428571428573,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,52,52,papagaran palangsatan,papagaran palangsatan,,,,0.7247571428571429,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,53,53,kolonel sugiono,kolonel sugiono,,,,0.7232000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,54,54,sp empat lungau - bangkau,sp empat lungau – bangkau,,,,0.7221428571428572,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,55,55,kalumpang desa balanti - teratai,Kalumpang (Ds. Balanti) - Teratai,,,,0.7206714285714286,,,,,0,1,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,56,56,merah johansyah - melati,merah johansyah – melati,,,,0.7186285714285715,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,57,57,pandak daun buntut muradiyah - pakan dalam,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,,,,0.7173000000000002,,,,,0,1,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,58,58,karya bakti - desa balimau,Karya Bakti - Ds. Balimau,,,,0.7168142857142857,,,,,0,1,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,59,59,amd - desa lok binuang,AMD - Ds. Lok Binuang,,,,0.7117571428571429,,,,,0,1,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,60,60,wasah tengah - sei tarap,wasah tengah – sei tarap,,,,0.7098857142857143,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,61,61,baru - desa bajayau,Baru - Ds. Bajayau,,,,0.7098142857142858,,,,,0,1,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,62,62,sp bakarung selatan - sei kudung,sp bakarung selatan – sei kudung,,,,0.7095571428571429,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,63,63,tanah bangkang menuju balai benih ikan,tanah bangkang menuju balai benih ikan,,,,0.7095000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,64,64,jafri zamzam,jafri zamzam,,,,0.7094714285714286,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,65,65,tawia - kayu abang,tawia – kayu abang,,,,0.7088000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,66,66,mangaris - limau manis,mangaris – limau manis,,,,0.7085000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,67,67,gerilya depan pustu habirau,Gerilya / (Depan PUSTU Habirau),,,,0.7077285714285715,,,,,1,1,1,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,68,68,palajau - desa baluti,palajau – desa baluti,,,,0.6991571428571429,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,69,69,hariti - sei raya selatan,hariti – sei raya selatan,,,,0.6959857142857144,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,70,70,hamalau - pahampangan,hamalau – pahampangan,,,,0.6950000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,71,71,malilingin - lokbahan - paniungan,Malilingin - Lokbahan - Paniungan,,,,0.6890714285714287,,,,,1,0,1,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,72,72,longawang - gumbil,longawang – gumbil,,,,0.6888571428571428,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,73,73,tungkaran - desa ulin,tungkaran – desa ulin,,,,0.6878142857142857,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,74,74,teluk mesjid - sp 4 muara banta,Teluk Mesjid - Sp. 4 Muara Banta,,,,0.6876428571428571,,,,,0,0,0,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,75,75,sp mandampa tel sili - sili - sp sei bungur,sp mandampa tel sili – sili – sp sei bungur,,,,0.6857285714285714,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,76,76,tamiyang - desa tamiyang eks,Tamiyang - Ds. Tamiyang (Eks TMMD),,,,0.6857000000000001,,,,,0,1,0,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,77,77,pakan dalam - kaminting batu,pakan dalam – kaminting batu,,,,0.6850428571428573,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,78,78,taniran tengah - taniran selatan,taniran tengah – taniran selatan,,,,0.6824571428571429,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,79,79,banua kambang - desa wasah tengah,banua kambang – desa wasah tengah,,,,0.6803857142857144,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,80,80,tanayung - simp ambarai,tanayung – simp ambarai,,,,0.6801857142857144,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,81,81,pendawa - desa tebing tinggi,pendawa – desa tebing tinggi,,,,0.6799428571428573,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,82,82,hamalau - asam cangkok,hamalau – asam cangkok,,,,0.6790857142857144,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,83,83,sei raya selatan - malutu - goa berangin,Sungai Raya Selatan - Malutu - Goa Berangin,,,,0.6735285714285715,,,,,1,0,1,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,84,84,batang kulur kanan - batang kulur kiri,Batang Kulur Kanan - Batang Kulur Kiri,,,,0.6734428571428572,,,,,0,1,0,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,85,85,mawar daha selatan,mawar daha selatan,,,,0.6721571428571429,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,86,86,kacang parang ulang - balai mawak - kias,kacang parang ulang – balai mawak – kias,,,,0.6713571428571429,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,87,87,loksado - loklahung,Loksado - Loklahung,,,,0.6695571428571429,,,,,1,0,1,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,88,88,tembok lama - loklua,tembok lama – loklua,,,,0.6683857142857144,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,89,89,bubuih - desa halunuk,bubuih – desa halunuk,,,,0.6675000000000002,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,90,90,sei mandala murung raya,Sei. Mandala Murung Raya,,,,0.6643285714285715,,,,,0,1,0,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,91,91,panggang hijau - desa tawar,panggang hijau – desa tawar,,,,0.6623571428571429,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,92,92,tibung raya - hamalau dalam,tibung raya – hamalau dalam,,,,0.6614142857142857,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,93,93,biti - sei kupang karya bakti tni,biti – sei kupang karya bakti tni,,,,0.6584714285714286,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,94,94,h m thaib,h m thaib,,,,0.6580857142857144,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,95,95,bayanan - habirau tengah,Bayanan - Habirau Tengah,,,,0.6561285714285715,,,,,1,1,1,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,96,96,amawang muka - getek,amawang muka – getek,,,,0.6561285714285714,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,97,97,ambarai - madang,Ambarai - Madang,,,,0.6530857142857144,,,,,1,0,0,1,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,98,98,sp 4 baru tampang - sp bilui pamujaan,Sp. 4 Baru/Tampang - Sp. Bilui Pamujaan,,,,0.6528714285714285,,,,,0,1,0,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,99,99,firdaus - desa kapuh,firdaus – desa kapuh,,,,0.6520714285714286,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,100,100,bariang - getek,bariang – getek,,,,0.6511571428571429,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,101,101,sp 4 mesjid sirih - sarang nyamuk - asam tamiyang,sp 4 mesjid sirih – sarang nyamuk – asam tamiyang,,,,0.6491571428571429,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,102,102,balimau - murung dalam,balimau – murung dalam,,,,0.6454428571428572,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,103,103,sp 4 banjarbaru - pasar negara,sp 4 banjarbaru – pasar negara,,,,0.6445857142857142,,,,,,,,,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,104,104,bamban tibung - martajiwa,Bamban (Tibung) - Martajiwa,,,,0.6430142857142858,,,,,1,1,1,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,105,105,bajayau - desa bajayau tengah,Bajayau - Ds. Bajayau Tengah,,,,0.6419285714285714,,,,,1,0,1,0,0,0,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,106,106,angkinang selatan - tawia - wawaran,Angkinang Selatan - Tawia - Wawaran,,,,0.6412428571428571,,,,,1,0,1,0,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,107,107,sei durian - desa gumbil,sei durian – desa gumbil,,,,0.6395428571428572,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,108,108,sp empat lungau - garis,Sp. Empat Lungau - Garis,,,,0.6388857142857144,,,,,0,1,0,0,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,109,109,kampung kawat,Kampung Kawat,,,,0.6351285714285715,,,,,0,0,0,0,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,110,110,ida manggala - padang makmur,ida manggala – padang makmur,,,,0.6348714285714285,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,111,111,negara - tumbukan banyu,negara – tumbukan banyu,,,,0.6347285714285714,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,112,112,pandulangan - kalinduku,pandulangan – kalinduku,,,,0.6343,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,113,113,tibung raya - asam cangkuk,tibung raya – asam cangkuk,,,,0.6325142857142858,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,114,114,taal jarau - sp baru tampang,Taal Jarau - Sp. Baru/Tampang,,,,0.6290857142857144,,,,,1,0,0,1,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,115,115,hamak timur - umpaya,hamak timur – umpaya,,,,0.6286428571428573,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,116,116,suriangpati - gambah dalam barat,suriangpati – gambah dalam barat,,,,0.6271285714285715,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,117,117,menuju smp 7 - desa gambah dalam,menuju smp 7 – desa gambah dalam,,,,0.6249857142857143,,,,,,,,,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,118,118,pangeran antasari - loklua,Pangeran Antasari - Loklua,,,,0.6217000000000001,,,,,1,0,1,0,0,0,0
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,119,119,dahlia,dahlia,,,,0.6215285714285714,,,,,,,,,0,0,0
