;;  ;
No. Mata;Uraian;Satuan; Harga 
Pembayaran;;; Satuan 
;;; (Rupiah) 
A;b;c; e 
;;;
3.5.(3);Geotekstil Stabilisator (Kelas 1);M2; 29.043,63 
SKh.1.3.8.(1);Geomembran Jenis HDPE halus;M2; 130.699,18 
SKh.1.3.11.(2);Geogrid Uniaxial Tipe 2;M2; 25.462,77 
SKh.1.3.11.(6);Geogrid Biaxial Tipe 1;M2; 22.897,50 
SKh.1.3.17.(1.a);Selimut Pengendali Erosi Tipe I;M2; 453.077,26 
SKh.1.3.17.(1.b);Selimut Pengendali Erosi Tipe II;M2; 487.577,26 
SKh.1.3.17.(2.b);Penanaman Biji Vegetasi dengen Teknik Taplok;M2; 52.731,33 
SKh.1.3.23.(1);Geocell;M2; 431.723,77 
;;;
;;;
;;;
;;;
;;;
;DIVISI  4.  PEKERJAAN PREVENTIF;;
4.1.(1);Pengabutan (Fog Seal) dengan Aspal Emulsi yang Mengikat Lambat (CSS-1h atau SS-1h);Liter; 37.266,05 
4.1.(2);Pengabutan (Fog Seal) dengan Aspal Emulsi yang Mengikat Lebih Cepat (CQS-1h atau QS-1h);Liter; 37.266,05 
4.1.(3);Pengabutan (Fog Seal) dengan Aspal Emulsi Modifikasi Polymer yang Mengikat Lebih Cepat (PMCQS-1h atau PMQS-1h);Liter; 23.906,33 
4.2.(1);Laburan Aspal (Buras);M2; 23.750,89 
4.4.(1);Penghamparan lapis penutup bubur aspal emulsi, tipe 1, CSS-1h SS-1h;M2; 37.647,06 
4.4.(2);Penghamparan lapis penutup bubur aspal emulsi, tipe 1, CQS-1h QS-1h;M2; 38.065,57 
4.4.(3);Penghamparan lapis penutup bubur aspal emulsi, tipe 2, CSS-1h SS-1h;M2; 43.628,21 
4.4.(4);Penghamparan lapis penutup bubur aspal emulsi, tipe 2, CQS-1h QS-1h;M2; 43.170,73 
4.4.(5);Penghamparan lapis penutup bubur aspal emulsi, tipe 3, CSS-1h SS-1h;M2; 38.879,74 
4.4.(6);Penghamparan lapis penutup bubur aspal emulsi, tipe 3, CQS-1h QS-1h;M2; 39.660,01 
4.5.(1);Lapis Permukaan Mikro dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 1;M2; 6.433,96 
4.5.(2);Lapis Permukaan Mikro Perata dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 1;Ton; 1.166.180,04 
4.5.(3);Lapis Permukaan Mikro dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 2;M2; 7.289,07 
4.5.(4);Lapis Permukaan Mikro Perata dengan aspal emulsi modifikasi  polymer  PMCQS-1h atau PMCQS-1h untuk Tipe 2;Ton; 1.225.405,04 
4.6.(1);Latasir Kelas A (SS-A);Ton; 2.935.032,95 
4.6.(2);Latasir Kelas B (SS-B);Ton; 3.287.946,80 
4.6.(3);Latasir Kelas A Modifikasi (SS-A Mod);Ton; - 
4.6.(4);Latasir Kelas B Modifikasi (SS-B Mod);Ton; - 
4.7.(1);Lapis Tipis Beton Aspal - A (LTBA-A);Ton; 2.442.758,72 
4.7.(2);Lapis Tipis Beton Aspal - B Halus (LTBA-B Halus);Ton; 2.217.011,71 
4.7.(3);Lapis Tipis Beton Aspal - B Halus (LTBA-B Kasar);Ton; 1.992.786,43 
4.7.(4);Lapis Tipis Beton Aspal - B Halus Modifikasi Kasar (LTBA-B Mod Kasar);Ton; 2.046.899,75 
4.7.(5);Stone Matrix Asphalt Tipis (SMA Tipis);Ton; 2.260.806,10 
4.7.(6);Stone Matrix Asphalt Modifikasi Tipis (SMA Mod Tipis);Ton; 2.955.672,77 
4.8.(1);Tambalan Dangkal dengan Beton Semen Cepat Mengeras untuk Pembbukaan Lalu Lintas Umur Beton < 24 jam;M3; 8.397.185,76 
4.8.(2);Tambalan Dangkal dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 1 hari dan kurang dari 3 hari;M3; 3.993.727,81 
4.8.(3);Tambahan Dangkal dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 3 hari dan kurang dari 7 hari;M3; 3.697.602,81 
4.9.(1);Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton < 24 jam;M3; 9.854.460,96 
4.9.(2);Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 1 hari dan kurang dari 3 hari;M3; 5.710.964,55 
4.9.(3);Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 3 hari dan kurang dari 7 hari;M3; 5.058.209,60 
4.9.(3) v.2;Tambalan Penuh dengan Beton Semen Cepat Mengeras untuk Pembukaan Lalu Lintas Umur Beton lebih dari 3 hari dan kurang dari 7 hari (Variasi 2);M3; 2.939.399,32 
4.9.(4);Pemasangan Ruji (Dowel);Buah; 374.225,33 
4.9.(5);Pemasangan Sealant;M1; 1.182,70 
4.10.(1);Penambahan dan/atau Penggantian Ruji (Dowel) pada Perkerasan Beton Semen dengan Epoksi;Buah; 484.241,50 
4.11.(1);Penjahitan Melintang Tipe 1 (tabel pelat beton = 150 - 175 mm);Buah; 32.996,20 
4.12.(1);Penutupan Sambungan Melintang (Termoplastik);M1; 121.281,02 
4.12.(2);Penutupan Sambungan Melintang (Termoseting);M1; 170.164,68 
4.12.(3);Penutupan Sambungan Melintang (Preformed);M1; 817.869,67 
4.12.(7);Penutupan Retak (Termoplastik);M1; 108.548,19 
4.13.(1);Pengeboran Lubang ;Buah; 6.260,58 
4.13.(2);Material Injeksi Berbahan Dasar Semen;Kg; 471.806,93 
4.13.(3);Material Injeksi Berbahan Dasar Cellular ;Kg; 492.628,08 
;;;
;;;
;;;
;;;
;;;
;DIVISI  5.  PERKERASAN  BERBUTIR;;
