dd2_row_index,dd2_road_name_raw,dd2_normalized_key,canonical_road_name,canonical_road_key,match_method,confidence_or_reason,notes
80,Jl. Nomura ,nomura,Nomura,nomura,direct,,
81,Jl. Lorong Bupati,lorong bupati,Lorong Bupati,lorong bupati,direct,,
82,Jl. Biti - Sungai Kupang (Karya Bakti TNI) ,biti - sei kupang karya bakti tni,Biti - Sungai Kupang (Karya Bakti TNI),biti - sei kupang karya bakti tni,direct,,
83,Jl. Palajau - Ds. Baluti,palajau - desa baluti,Palajau - Ds. Baluti,palajau - desa baluti,direct,,
84,Jl. RS. Hasan Basry II,rs hasan basry ii,RS. Hasan Basry II,rs hasan basry ii,direct,,
85,Tajun - Sp.3 Muara Paring Agung,tajun - sp 3 muara paring agung,Tajun - Sp.3 Muara Paring Agung,tajun - sp 3 muara paring agung,direct,,
86,Hamalau - Anjiran,hamalau - anjiran,Hamalau - Anjiran,hamalau - anjiran,direct,,
87,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,tanjungan - sp 10 batang kulur - sei kali,Tanjungan - Sp. 10 Batang Kulur - Sungai Kali,tanjungan - sp 10 batang kulur - sei kali,direct,,
88,Sungai Raya Selatan - Sarang Halang,sei raya selatan - sarang halang,Sungai Raya Selatan - Sarang Halang,sei raya selatan - sarang halang,direct,,
89,Sp. Batang Kulur Kiri - Tatas,sp batang kulur kiri - tatas,Sp. Batang Kulur Kiri - Tatas,sp batang kulur kiri - tatas,direct,,
90,Taal Batang Kulur - Sp. 3 Muara Prg Agung,taal batang kulur - sp 3 muara prg agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,taal batang kulur - sp 3 muara prg agung,direct,,
91,Batang Kulur Kanan - Sarangan,batang kulur kanan - sarangan,Batang Kulur Kanan - Sarangan,batang kulur kanan - sarangan,direct,,
92,Bumi Berkat - Mungkur Galah,bumi berkat - mungkur galah,Bumi Berkat - Mungkur Galah,bumi berkat - mungkur galah,direct,,
93,Taal Jarau - Sp. Baru/Tampang,taal jarau - sp baru tampang,Taal Jarau - Sp. Baru/Tampang,taal jarau - sp baru tampang,direct,,
94,Sungai Raya - Jambu Hulu/Paku,sei raya - jambu hulu paku,Sungai Raya - Jambu Hulu/Paku,sei raya - jambu hulu paku,direct,,
95,Sungai Raya Selatan - Malutu - Goa Berangin,sei raya selatan - malutu - goa berangin,Sungai Raya Selatan - Malutu - Goa Berangin,sei raya selatan - malutu - goa berangin,direct,,
