comparison_name,K,category,road_key,road_name,rank_A,rank_B,A_scenario_id,A_model,A_score_type,B_scenario_id,B_model,B_score_type
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,tukang garit tambangan,tukang garit tambangan,,9,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,sei raya selatan - malutu - goa berangin,sei raya selatan – malutu – goa berangin,,10,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,sukaramai - keramat,sukaramai – keramat,,11,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,sp 4 mesjid sirih - sarang nyamuk - asam tamiyang,sp 4 mesjid sirih – sarang nyamuk – asam tamiyang,,12,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,padang haur - desa wasah tengah,padang haur – desa wasah tengah,,13,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,gerilya depan pustu habirau,gerilya depan pustu habirau,,14,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,sp 4 banjarbaru - pihanin raya,sp 4 banjarbaru – pihanin raya,,15,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,angkinang selatan - tawia - wawaran,angkinang selatan – tawia – wawaran,,16,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,tumbukan banyu - banua hanyar,tumbukan banyu – banua hanyar,,17,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,jafri zamzam,jafri zamzam,,18,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,tanjungan - sp 10 batang kulur - sei kali,tanjungan – sp 10 batang kulur – sei kali,,21,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,rambai - bariang,rambai – bariang,,22,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,mawangi - bukuanin - telaga langsat,mawangi – bukuanin – telaga langsat,,23,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,bajayau - desa bajayau tengah,bajayau – desa bajayau tengah,,24,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,tabihi - telaga langsat,tabihi – telaga langsat,,26,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,bakarung - tabihi - karang jawa,bakarung – tabihi – karang jawa,,28,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,mandapai - madang,mandapai – madang,,29,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,malinau - katingin - kamawakan,malinau – katingin – kamawakan,,30,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,kaliring - sp padang batung,kaliring – sp padang batung,,31,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,siang gantung - desa baru,siang gantung – desa baru,,32,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,gumbil - masimpan,gumbil – masimpan,,33,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,panggang hijau - desa tawar,panggang hijau – desa tawar,,34,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,sei raya selatan - sarang halang,sei raya selatan – sarang halang,,35,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,singakarsa - palas,Singakarsa - Palas,3,11,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
AHP_WSM_17_vs_Historis_Any2026_Final,70,overlap,wasah hulu - amparaya - simpur,Wasah Hulu - Amparaya - Simpur,6,22,normatif_17,AHP_WSM,,refined_recall_max_any2026,RandomForest,grid_0005
