no_ruas_digit_1,no_ruas_digit_2,no_ruas_digit_3,nama_ruas_raw,kecamatan_dilalui,panjang_ruas_km,lebar_ruas_m,perkerasan_hotmix_km,perkerasan_lapen_makadam_km,perkerasan_beton_km,perkerasan_telford_kerikil_km,perkerasan_tanah_belum_tembus_km,kondisi_baik_km,kondisi_baik_pct_decimal,kondisi_sedang_km,kondisi_sedang_pct_decimal,kondisi_rusak_ringan_km,kondisi_rusak_ringan_pct_decimal,kondisi_rusak_berat_km,kondisi_rusak_berat_pct_decimal,lhr,akses_npk,keterangan_tahun,extra_24,no_ruas
0,4,5,Gambir - Sp. Empat Lungau,Kandangan,2.95,3,1.5,0,0,0.699999988079071,0.75,0,0,1.5,0.5084745762711864,0,0,1.4500000476837158,0.491525439892785,0,0,2025,,045
0,4,6,Bariang - Getek,Kandangan,1.24,3,1.2400000095367432,0,0,0,0,0,0,0.4000000059604645,0.32258064996811653,0.8399999737739563,0.6774193336886745,0,0,0,0,2025,,046
0,4,7,Muara Banta - Karang Jawa,Kandangan - Padang Batung,1.59,3,1.590000033378601,0,0,0,0,0,0,1.590000033378601,1.0000000209928308,0,0,0,0,0,0,2025,,047
0,4,8,Sungai Paring - Sei Hanyar Pantai Ulin,Kandangan - Simpur,5.85,3,5.050000190734863,0,0,0.800000011920929,0,0,0,1.399999976158142,0.23931623524070805,2.299999952316284,0.39316238501133066,2.150000035762787,0.3675213736346644,0,0,2025,,048
0,4,9,Kandangan Hulu - Sp. Tabihi,Kandangan - Padang Batung,1.25,3.5,1.25,0,0,0,0,0.3499999940395355,0.27999999523162844,0.8999999761581421,0.7199999809265136,0,0,0,0,0,0,2025,,049
0,5,0,Banyu Barau - Sei Kalang,Kandangan,2.1,3,2.0999999046325684,0,0,0,0,0.8999999761581421,0.4285714172181629,1.2000000476837158,0.5714285941351027,0,0,0,0,0,0,2025,,050
0,5,1,Tibung Raya - Asam Cangkuk,Kandangan,0.86,3,0.8600000143051147,0,0,0,0,0.8600000143051147,1.0000000166338543,0,0,0,0,0,0,0,0,2025,,051
0,5,2,Gambah Dalam - Rantauan,Kandangan,1.52,3,1.5199999809265137,0,0,0,0,0,0,1.0199999809265137,0.6710526190306011,0.5,0.32894736842105265,0,0,0,0,2025,,052
0,5,3,Gambah Luar - Gambah Dalam,Kandangan,1.29,3,1.2899999618530273,0,0,0,0,0,0,0.9900000095367432,0.7674418678579404,0.30000001192092896,0.2325581487759139,0,0,0,0,2025,,053
0,5,4,Pegangsaan Timur - Teluk Aman,Kandangan,1.05,3,1.0499999523162842,0,0,0,0,0,0,0.75,0.7142857142857143,0.30000001192092896,0.28571429706755136,0,0,0,0,2025,,054
